ticker,alpha,model,pinball,dm_vs_baseline,dm_p_better_than_baseline,in_mcs,mcs_pvalue,breach_rate,kupiec_p,christoffersen_ind_p,christoffersen_cc_p,passes_gate,n_test
BTC-USD,0.01,Anchor hist [SimpleQuantileNeuron],0.0009891866318956432,1.6981658459249926,0.955117340284335,True,0.11,0.0018552875695732839,0.00096483860146708,0.9312547722381249,0.004293521686298715,False,1078
SQM,0.01,Anchor param [SimpleQuantileNeuron],0.0008292001512060832,-3.3629246891465505,0.00040525553888228985,True,0.255,0.012032085561497326,0.5883208394615691,0.6394077011935975,0.7739515999612898,True,748
SQM,0.01,Anchor hist [SimpleQuantileNeuron],0.0008481225925014463,-4.541876620780158,3.2494163541741512e-06,True,0.255,0.004010695187165776,0.06117181991887754,0.8763932849430484,0.17122794308063977,True,748
SQM,0.01,Anchor hist [QuantileMLP],0.0008529140104325383,-2.2375602460540867,0.012771917166978175,True,0.255,0.0106951871657754,0.8501255199068876,0.6772742258895614,0.9008127887766366,True,748
SQM,0.01,"GARCH(1,1)-t",0.0008535023862576072,-1.7512320493442912,0.040158179865907896,True,0.255,0.008021390374331552,0.5732492380070288,0.7552561367054408,0.8128395318363333,True,748
SQM,0.01,Parametric-Normal,0.0008792031226015025,-0.596594486468764,0.27547945348741754,True,0.255,0.022727272727272728,0.0027053355143485886,0.37354058655703304,0.007490997794085839,False,748
SQM,0.01,Historical,0.0008823284856436645,-0.5300868941496483,0.29810460414738926,True,0.255,0.008021390374331552,0.5732492380070288,0.7552561367054408,0.8128395318363333,True,748
SQM,0.01,Unanchored [SimpleQuantileNeuron],0.0009106538435633334,,,True,0.255,0.00267379679144385,0.016733506201319536,0.9174664598466612,0.05684513486664677,False,748
SQM,0.01,Unanchored [QuantileMLP],0.000926924814070674,0.3821662480545928,0.6487766236225468,True,0.255,0.014705882352941176,0.2267181171814881,0.566356755089797,0.40857700150816023,True,748
SQM,0.01,Anchor param [QuantileMLP],0.000926924814070674,0.3821662480545928,0.6487766236225468,True,0.255,0.014705882352941176,0.2267181171814881,0.566356755089797,0.40857700150816023,True,748
CL=F,0.01,"GARCH(1,1)-t",0.0008048736854878889,-1.2581125810204736,0.1043720758090799,True,0.435,0.012032085561497326,0.5883208394615691,0.09158558623417377,0.20812269275100126,True,748
CL=F,0.01,Anchor hist [SimpleQuantileNeuron],0.0008744989986463775,-0.8560238557279277,0.19612954080764808,True,0.435,0.008021390374331552,0.5732492380070288,0.03419756821559354,0.09062388010431423,False,748
CL=F,0.01,Anchor param [QuantileMLP],0.0008879437313018747,-0.39222834995324873,0.3475006898437679,True,0.435,0.017379679144385027,0.06631801151512555,0.017049919872881753,0.010763932777373414,False,748
CL=F,0.01,Anchor param [SimpleQuantileNeuron],0.0009070700536762996,-0.46288046091814394,0.32179243250177436,True,0.435,0.01871657754010695,0.03256198004980939,0.25751078155538926,0.05364450418312879,False,748
CL=F,0.01,Anchor hist [QuantileMLP],0.0009122615194512991,-0.18103568630610598,0.4281943357564985,True,0.435,0.008021390374331552,0.5732492380070288,0.03419756821559354,0.09062388010431423,False,748
CL=F,0.01,Unanchored [SimpleQuantileNeuron],0.0009343732534381904,,,True,0.435,0.0066844919786096255,0.3321884990093141,0.7951815565847147,0.6041899105592773,True,748
CL=F,0.01,Parametric-Normal,0.0009962751503983587,0.6800186646882557,0.7516483365923852,True,0.435,0.026737967914438502,0.00013920610961138047,0.5582133612980242,0.000594474452249308,False,748
CL=F,0.01,Unanchored [QuantileMLP],0.001019377729750599,0.6226604210494755,0.7331511376304407,True,0.435,0.013368983957219251,0.3784805641538036,0.11772813952331136,0.19959608960862646,True,748
CL=F,0.01,Historical,0.0010459786113044382,0.863969635909786,0.8060590504022759,True,0.435,0.016042780748663103,0.12675375248763185,0.18069144504544865,0.1272154691966053,True,748
